Designator;Comment;Description;Quantity;Footprint Name;Order from;Manufacturer;Manufacturer Part Number
"R8";"5 mO";"Res Metal Strip 0612 0.005 Ohm 1% 1W ±150ppm/C Wide Terminal SMD Automotive T/R";"1";"";"Mouser";"";""
"R9, R13";"10 mO";"Res 0.01 Ohm 1% 1W 1206";"2";"";"Mouser";"";"CRK0612-FZ-R010E"
"SW1";"Würth Elektronik 434331045822";"Tact Switch 3.5x4.7mm Black Side push";"1";"";"Mouser";"";"434331045822"
"U1";"MAX17205G+";"Stand-Alone Model Gauge m5 Fuel Gauge  with SHA-256 Authentication";"1";"QFN";"Mouser";"";"MAX17205G+"
"U2";"BQ25700ARSNR";"NVDC SMBus Battery Buck-Boost Charge Controller with System Power Monitor & Processor 32-QFN -40 to 85";"1";"";"Mouser";"";"BQ25700ARSNR"
"U3";"STM32L071KZU6";"MCU 32-Bit Ultra Low Power STM32L ARM Cortex M0+ RISC 192kB Flash 32-Pin UFQFPN Tray";"1";"QFN";"Mouser";"";"STM32L071KZU6"
"U4";"TPS65987DDHRSHT";"USB Type-C and USB PD Controller With Integrated Power Switches 56-VQFN -40 to 85";"1";"QFN";"Mouser";"";"TPS65987DDHRSHT"
"U5";"TPS54295PWPR";"Conv DC-DC 4.5V to 18V Synchronous Step Down Dual-Out 0.76V to 7V 2A/2A 16-Pin HTSSOP EP T/R";"1";"TSSOP";"Mouser";"";"TPS54295PWPR"
"U6";"LDL212DR";"Low Dropout Regulators(LDO) Positive Adjustable 600mV @ 1.2A 18V 1.18V 1.2A SOIC-8_150mil RoHS";"1";"SOIC";"Mouser";"";"LDL212DR"
"U7";"LDF33DT";"Fixed Ldo Voltage Regulator, 2.6V To 16V, 200Mv Dropout, 3.3Vout, 1Aout, To-252-3 Rohs Compliant: Yes";"1";"TO-252";"Mouser";"";"LDF33DT"
"U8";"TPD6S300RUKR";"USB Type-C port protector: short-to-VBUS overvoltage and 6-ch ESD protection 20-WQFN -40 to 85";"1";"QFN";"Mouser";"";"TPD6S300RUKR"
